tweet_id,ArrivalTimestamp,display_name,user_name,user_id,tweet_text,word_count_on_text,hashtags_from_text,hashtags_count,sentiment
1.59E+18,22/11/2022 12:41,Bencomo Rayford,YuumiZK,1.59E+18,"RT @gate_io: ⚽️The #WorldCup2022 is finally coming!⚽️

Are you excited &amp; want to be part of it?🥳 

Join us to predict the #WorldCup winners…",24,#WorldCup2022 #WorldCup,2,POSITIVE
1.59E+18,22/11/2022 12:41,should i have a name?,triedfatcat,1.16E+18,"RT @AmnestyIran: As the world's attention is turned to the #ENGIRN game, let's remember the faces of children killed by Iran's security for…",23,#ENGIRN,1,NEGATIVE
1.59E+18,22/11/2022 12:41,亚博体育/乐鱼/老虎机/BG真人/博鱼/八戒/屎币/电竞/王者荣耀/亚博/开云,ToddJudith10,1.58E+18,Herman Carmen #WorldCup2022 Yvonne Bentham Carey Roger #真人体育 Nicole Byron #J9娱乐  https://t.co/TJWgMbbZQg,12,#WorldCup2022 #真人体育 #J9娱乐,3,NEUTRAL
1.59E+18,22/11/2022 12:41,Bencomo Rayford,YuumiZK,1.59E+18,@gate_io @MdShahi18820711 Great Project,4,,0,POSITIVE
1.59E+18,22/11/2022 12:41,👻,jaazzfcb,734322025,RT @AminuMujahid3: Barca with eight players will be the base of theteam in the world cup in Qatar  🇪🇸 [Sport] #Barcelona #WorldCup2022 http…,23,#Barcelona #WorldCup2022,2,NEUTRAL
1.59E+18,22/11/2022 12:41,Kurtilein 🖤❤,kaakrampmeier,1.11E+18,"RT @twitkalk: @DFB_Team @DFB Today I feel #Quatar2022 
Today I feel moneysexual and morally disabled
Today I like a bald spineless ex-redhe…",22,#Quatar2022,1,NEGATIVE
1.59E+18,22/11/2022 12:41,Alexis,AlexisAngelina_,1.51E+18,"RT @gambabit: $50 #WorldCup Giveaway🕊️

To Enter :
⚽️ Like + RT
⚽️ Guess the score of #Argentina vs #SaudiArabia 
⚽️ Follow Us

1 Lucky Win…",26,#WorldCup #Argentina #SaudiArabia,3,NEUTRAL
1.59E+18,22/11/2022 12:41,Raeyligh-san,Freyasaja,1.39E+18,"RT @TopGoal_NFT: Enjoy #WorldCup2022 with TopGoal
Predict Match Results, Split Jackpot 

🎲Predict Winning team, draw 2 with 50TMT
🎲Predict…",19,#WorldCup2022,1,NEUTRAL
1.59E+18,22/11/2022 12:41,Fran 🏴󠁧󠁢󠁷󠁬󠁳󠁿 🇪🇺,howells21,184457433,"RT @LauraMcAllister: So, despite fine words from @FIFAWorldCup before event @Cymru rainbow Bucket hats confiscated at stadium, mine include…",19,,0,NEUTRAL
1.59E+18,22/11/2022 12:41,Le_mocd10,donaldi0607,7.19E+17,"RT @Raptors: Who’s watching #FIFAWorldCup right now?  

Does P have the 👣 to join a team #WorldCup2022 https://t.co/YTvgt6iecY",18,#FIFAWorldCup #WorldCup2022,2,NEUTRAL
